caption_id,track_id,caption,is_valid_subset,familiarity,artist_id,album_id,path,duration
859,1004034,Electronic music that has a constant melody throughout with accompanying instruments used to supplement the melody which can be heard in possibly a casual setting,True,0,368880,118196,34/1004034.mp3,202.5
990,1007274,"acoustic guitar solo track with consistent rhythm and repeating progression, suitable for a relaxing afternoon tea",True,1,429137,118548,74/1007274.mp3,140.2
810,1009671,Upbeat fast tempo with a blues rock feel that one can dance,True,2,7063,118858,71/1009671.mp3,160.1
622,1009671,A classic chord progression used in a playful way to give sound for sunny day.,True,1,7063,118858,71/1009671.mp3,160.1
1092,1009672,A joyful and lively song that will make you want to dance right away,True,1,7063,118858,72/1009672.mp3,147.9
1060,1009672,This rock song has an indie rock genre but with a dancing  joyful vibe to it and licks / effects using synths along with whistle at the end,True,1,7063,118858,72/1009672.mp3,147.9
1017,1033252,"A 70s style british pop song with drums, guitars, a synth violin sounds and finally bright piano chords.",True,1,433896,121612,52/1033252.mp3,246.3
1040,103333,This is an instrumental track based on electronic samples that can be used before the start of a movie to give a doomsday or post apocalypse feel,True,0,6568,11759,33/103333.mp3,93.6
949,1036934,Indie alike track to time-travel to mid 2000's.,,2,7063,122071,34/1036934.mp3,182.0
572,103887,"Two electric guitars in conversation with each other, one with a wua-wua effect and the other with a strong delay effect.",True,1,3901,12064,87/103887.mp3,258.3
723,103892,bluesy guitar with a slow repetitive rythm in a smoky room in latin america,True,1,3901,12064,92/103892.mp3,156.7
438,103892,"This is a slow but deliberate jazz song, featuring two guitars (one acoustic, one bass), with a bass drum being used in points to keep timing. The tempo begins to increase somewhat in the last 16 seconds, which is also when the drums really come in.",,1,3901,12064,92/103892.mp3,156.7
401,1050845,"Synthetic orchestral piece in the style of a 90s war movie battle scene soundtrack, with prominent bass drums and dry brass section harmonies",True,2,432124,123749,45/1050845.mp3,211.7
653,1051193,A song that's intensely personal as its superficial lyrics that take you to nowhere.,,1,436034,123814,93/1051193.mp3,231.2
715,1051196,"country-pop relaxing song with happy mood and acoustic guitar, ideal for young girls going out shopping or dreaming about their love",True,0,436034,123814,96/1051196.mp3,218.8
768,1051201,I'm in a charismatic church and feeling sea sick from all the swaying to and fro.,False,1,436034,123814,01/1051201.mp3,263.6
590,1053845,"An electronic ambient track, with a dark tone. The song progresses building the sections on top of each other. A hollow percussion drum beat builds on top of a dark and soft harp, towards the end a violin lead comes in. The song itself is pretty anonymous.",,1,340225,124189,45/1053845.mp3,449.1
742,1053845,"Inspiring Synth Arpeggio with Soft Percussion, Technological Background Music",True,0,340225,124189,45/1053845.mp3,449.1
1011,1053845,"a soothing electronic piece with shimmering sounds, tribal percussion and, repetitive synth motif and several layers of pads",True,1,340225,124189,45/1053845.mp3,449.1
308,1054342,A slow tempo guitar picking song of a folk genre which can be played on a road trip it evokes a relaxed sensation,True,1,7805,124290,42/1054342.mp3,244.0
712,1054396,fast and fun beat-based indie pop to set a protagonist-gets-good-at-x movie montage to.,True,1,7063,124283,96/1054396.mp3,168.9
687,1055022,"This song that features a piano, cello and oboe starts calmly and then arrives to a crescendo to give a triumphant atmosphere.",True,1,436558,124371,22/1055022.mp3,87.1
953,10575,A track with elements from eurodance and indie guitars.,True,1,14,1561,75/10575.mp3,126.2
974,1057890,A cinematic electronic soundtrack which announces the epic journey the protagonist will undertake in a post-apocalyptic world.,True,1,436941,124781,90/1057890.mp3,384.2
188,1060600,Melodic jazz piece starting off with a solo sax intro and continues with smooth electric guitar and synthesizer riffs.,True,1,352880,125122,00/1060600.mp3,185.6
190,1060600,"This piece starts with a saxophone solo, then a full jazz band (bass, electric piano, guitar, drums) comes in and establishes a nice, contemplative mood, but then the guitar starts to ruin the mood with some unsuited soloing.",,1,352880,125122,00/1060600.mp3,185.6
476,1060600,"A groovy saxophone plays freely to open, which gives way to a relaxed guitar and minute drum backing. The mood feels like basking in a hot tub in midsummer, at a Californian poolside. The guitar harmonies bob around each other gracefully. The music continues to amble along gently.",,1,352880,125122,00/1060600.mp3,185.6
125,1061369,"Probably a three piece band with melodic guitar, heavy bass and drums playing an instrumental and energetic piece.",True,1,7063,125285,69/1061369.mp3,161.5
616,1061384,An instrumental song that evokes some kind of a rush to go and declare your love.,,2,7063,125285,84/1061384.mp3,160.1
547,1061473,"oh, this is kind of post punk music, remind me my high school memory.",True,1,7063,125285,73/1061473.mp3,112.7
1039,1062831,Only instrumental and based on electronic samples that picks up as the song progresses,True,0,348998,125504,31/1062831.mp3,290.1
639,1063331,An instrumental hopefully positive track where the foreground melody features a classic guitar.,True,1,437571,125588,31/1063331.mp3,200.0
5,1063332,Groovy instrumental funk rock track with occasional guitar solos that give you a feeling of longing.,True,1,437571,125588,32/1063332.mp3,161.5
634,1063454,A deeply soothing track featuring two string instruments makes one peaceful with theirselves and the world.,True,1,437571,125601,54/1063454.mp3,119.5
91,1066197,the song is moving. piano is playing over long notes.,,1,437998,126023,97/1066197.mp3,304.0
885,1066198,"Feels like there is an argument happening between two people with the constant beat making it like time is progressing forward which can be used for either casual listening, reminiscing on a memory or background of a movie scene mostly involving percussion and piano thats having a conversation between two different octaves",,1,437998,126023,98/1066198.mp3,341.4
669,1066204,A sad and moving instrumental piece for piano accompanied by a string section.,True,1,437998,126023,04/1066204.mp3,280.6
881,1066204,Melodic sad instrumental piano that gives an atmospheric vibe,True,1,437998,126023,04/1066204.mp3,280.6
821,1068667,Hopeful Emotional Pop Ballad with Piano violin and minimal drums Repeating melody that builds into an electro house beat,,1,348064,126331,67/1068667.mp3,283.8
1007,1068667,"A cinematic piece with a very bright piano, later joined by a drum machine, hand  clapping and a violin synth sound which makes the track sound a little bit more oriental.",True,1,348064,126331,67/1068667.mp3,283.8
481,1068668,Instrumental ambient electronic song. The drum machine beat blends with a sparse piano lead motif. The track is made full by strings and later by a violin lead. The track has an emotional progression and feeling.,,1,348064,126331,68/1068668.mp3,201.1
1094,1069500,Elegant and pure sounds that convey a sense of order and cleanliness,True,0,362552,126482,00/1069500.mp3,211.2
170,1070256,This is a experimental piece or sound effect with quiet noises of running water and someone whispering.,True,0,423996,126616,56/1070256.mp3,127.6
256,1078392,"An acoustic guitar is paired with an echoey drumkit and whiny lyrics about nature (e.g., oceans, horizons) in what is a pretty average sync track",True,2,343767,128427,92/1078392.mp3,210.2
820,1078392,Pop rock song with a hopeful feel and a chorus that audience can sing along to,True,1,343767,128427,92/1078392.mp3,210.2
1080,1078393,"Groovy funky song with an intimate touch, perfect for a small self contained dance",True,1,343767,128427,93/1078393.mp3,227.5
179,108303,Delayed synth blips and electronic drums combine on an ambient electronica track.,True,1,337281,13053,03/108303.mp3,230.0
851,108303,electronic music track that has chill and relaxed beats,True,0,337281,13053,03/108303.mp3,230.0
721,108303,"futuristic ambient song, with synthesizer and futuristic sounds, could be suitable for a sci-fi movie",,1,337281,13053,03/108303.mp3,230.0
551,108303,Ambient electronic track with a mysterious and ethereal mood and a spacey vibe.,True,1,337281,13053,03/108303.mp3,230.0
272,108303,"An instrumental electronic track, with a dark atmosphere, a two-measure basic beat using a characteristic rim shot snare, electronic percussions and synths, with a simple synth riff on top. The track develops using crescendos and diminuendos of sound materials.",,2,337281,13053,03/108303.mp3,230.0
27,1086667,"Industrial Rock, Industrial Rock, Industrial Rock, Industrial Rock",,0,439729,129531,67/1086667.mp3,211.0
695,1086667,this euro dance track gets heavier at times but is not very pleasant to listen to in general.,,0,439729,129531,67/1086667.mp3,211.0
138,1089085,"Possibly a movie soundtrack, this instrumental piece has a dramatic tone, creates a slight suspense and a playful continuing",True,1,432273,129838,85/1089085.mp3,151.7
658,1093792,Intense pop song with a base of piano and synthesizers.,True,1,440692,130370,92/1093792.mp3,197.0
770,1093792,Slow-paced pop ballad for an early morning walk.,True,1,440692,130370,92/1093792.mp3,197.0
1057,1093793,Electronic disco music about love that builds up quickly and has a dance beat to it,True,0,440692,130370,93/1093793.mp3,182.0
621,1093794,Pop love song that would accompany perfectly a morning run.,True,1,440692,130370,94/1093794.mp3,140.0
918,1093794,"Traditional formula for an RnB track, not so creative. Cannot stand for more than 30 seconds.",False,0,440692,130370,94/1093794.mp3,140.0
17,1097943,Pop song which could be potentially an ear-worm or a summer hit.,True,1,7063,130945,43/1097943.mp3,162.7
956,1100002,A jazz track to have a pleasant time during lunch.,True,2,4488,131255,02/1100002.mp3,224.4
975,1107251,RnB but cute sounds like someone who plays volleyball wrote it,False,1,339779,132225,51/1107251.mp3,228.6
172,1108553,"Suspenseful instrumental track with synthesizer, drums and percussion.",True,0,442559,132409,53/1108553.mp3,50.1
665,1113971,Progressive electronic song with an intro of African percussions.,True,1,340225,133056,71/1113971.mp3,269.3
713,1116406,slow and arpeggiated solo piano with a boatload of reverb,True,1,437998,133378,06/1116406.mp3,90.0
135,1116697,"An electronic music track which has a upbeat melody, gets increasingly complex and evokes a sense of positive excitement",,0,421137,133426,97/1116697.mp3,256.1
1042,1116697,Electronic instrumental house music that builds up quickly and can be used in a club or in the background while studying or relaxing,True,0,421137,133426,97/1116697.mp3,256.1
867,1116697,"A deep house track with a very clear build up, very well balanced and smooth kick-snare timbre. The glockenspiel samples seem to be the best option to aid for the smoothness of such a track, which helps 2 minutes to pass like it was nothing.  A very clear and effective contrastive counterpoint structure between the bass and treble registers of keyboards and then the bass drum/snare structure is what makes this song a very good representative of house music",,1,421137,133426,97/1116697.mp3,256.1
108,1119016,A garage rock-influenced song with lyrics about space which evokes psychedelia,True,1,6615,133737,16/1119016.mp3,246.0
18,1119024,British indie song make from white dudes grown up listening to Franz Ferdinand,False,1,6615,133737,24/1119024.mp3,192.7
692,1119403,A strings orchestra and piano combine in this waltz to give a fantasy feeling.,True,1,442397,133790,03/1119403.mp3,90.0
153,1119403,It is an orchestral piece with a hopeful mood and expectations ahead of an adventure.,True,1,442397,133790,03/1119403.mp3,90.0
231,1121390,"Synth music, library music. Listen it in the morning.",,0,340225,133993,90/1121390.mp3,297.0
792,1121390,backing track for a youtube vlog when they show random clips of places they've been to as a transition.,,1,340225,133993,90/1121390.mp3,297.0
452,1121390,medium tempo ambient sounds to begin with and slow guitar plucking layering followed by an ambient rhythmic beat and then remove the layering in the opposite direction,True,1,340225,133993,90/1121390.mp3,297.0
596,1122012,"Genre seems like a Lo-Fi music and I feel relief and this is kind of a song when people play on their Youtube video for ""studywithme""",,1,437998,134087,12/1122012.mp3,235.1
864,1122392,Electronic music with a high energy vibe that can possibly be used for a spin class or dance floor,True,1,442559,134139,92/1122392.mp3,226.1
376,1122392,Drum’n bass song that makes it hard not to shake your head or feet while listening.,True,2,442559,134139,92/1122392.mp3,226.1
80,1124837,This song evokes good memories and positivity in general,,1,432273,134534,37/1124837.mp3,171.6
274,1124837,"Nice, happy, yet calm piano tune. Sounds like something I would study to, if it were a little slower. The left hand keeps the rhythm and the right hand tells a melody. Large tonal shift about halfway through this piece",,1,432273,134534,37/1124837.mp3,171.6
526,1124837,cheerful happy music played on a piano for relaxing,True,0,432273,134534,37/1124837.mp3,171.6
750,1124837,"happy solo piano, could be used for commercial purposes or as a background music. has a key change in the middle and becomes more thoughtful and beautiful, could be used in a anime intro. its not the full piece.",,0,432273,134534,37/1124837.mp3,171.6
396,1124837,A light and uplifting piano track that develops from a simple melody.,True,0,432273,134534,37/1124837.mp3,171.6
65,1125375,"Birds chirping in the intro and outro, while during the main part, violins and playing a melancholic melody backed by acoustic guitar, evoking feelings of sadness but also hopefulness.",,0,429137,134675,75/1125375.mp3,114.6
1088,1126719,Alternative electronic song with experimental sounds and unsettling vibe,True,0,443948,134851,19/1126719.mp3,268.0
389,1134446,"This is an electronic sounds and can be fit in to the edm genre. It has a piano at the start and hihat loop with a kick loop. The song also has pads, white noise risers, bassline, impacts and other elements used in electronic dance music. The vibe of the song is upbeat and happy",,2,365279,136140,46/1134446.mp3,251.7
914,1135054,Smooth chill electronic music featuring calming flute and techno beats.,True,0,423882,136238,54/1135054.mp3,348.0
474,1135054,"This track starts with a chilled out drum beat and soothing synths which wash over the listener like calm waves. An iridescent bell-like chime rings out softly, like birdsong frozen in ice. Strings also sweep through the mix. A wooden flute plays gracefully, with light ornamentation on some notes. The flute takes its time, like a calm observer on a remote cliffside observing a vast landscape.",,1,423882,136238,54/1135054.mp3,348.0
412,1135703,"Contemporary trendy optimistic indie pop, with dirty drums, happy guitar comping and synthesizer solo",True,2,7063,136366,03/1135703.mp3,185.8
638,1135707,Energetic pop rock track that will surely keep the dancefloor moving in a live concert.,True,1,7063,136366,07/1135707.mp3,150.5
136,1143012,A joyful and sweet instrumental music track which is leaves the listener with positive emotions,True,1,451073,137054,12/1143012.mp3,306.3
1069,1143013,This song starts with a ukulele and builds up with percussion using claps and an acoustic guitar that plays the same rhythm as the ukulele with melody played on a xylophone and has a very upbeat feel to it,True,0,451073,137054,13/1143013.mp3,97.9
251,1143013,This is a snappy pop track that opens with acoustic guitar or ukelele strumming and then layers on metallic keys as an instrumental,True,1,451073,137054,13/1143013.mp3,97.9
327,1143152,"Instrumental piano piece with a slightly classical touch and a nostalgic, bittersweet or blue mood.",True,2,366613,137071,52/1143152.mp3,122.0
81,1143152,"This song has a meditating vibe to it, what I would listen to calm things down after an anxious encounter.",True,1,366613,137071,52/1143152.mp3,122.0
655,1143153,A sentimental piano piece which makes one contemplate about stuff but not so deeply.,True,1,366613,137071,53/1143153.mp3,184.0
20,1151403,"Acoustic piano quite dynamic and anxious, neoclassical at some level which probably could fit well for a movie soundtrack.",True,1,432273,138116,03/1151403.mp3,140.0
899,1151403,Piano piece with very melodic and repetitive high parts and some bass notes supporting the melody.,True,2,432273,138116,03/1151403.mp3,140.0
291,1151409,"A lullaby turned dark in its melody begins on a plucky kalimba of some kind; after an intro, a flute takes over the melody and a harp and other orchestral instruments back it up.",,1,432273,138116,09/1151409.mp3,191.3
755,1153922,"a soft and pleasant tune with an ukulele, bells and a glockenspiel",True,1,432273,138416,22/1153922.mp3,130.2
620,1155158,A dramatic and emotional solo piano track modern and classic at the same time.,True,1,432273,138584,58/1155158.mp3,220.4
592,1156053,"Genre seems to be Texas country music and I feel hopeful and felt like I'm in a farm
with waiting for the sunset with animals walking around",True,1,434614,138697,53/1156053.mp3,213.4
783,1157358,A common sad pop song about a relationship,True,2,440692,138887,58/1157358.mp3,194.3
151,1157358,"too much mainstream and artificial, not inspirational neither emotional",False,0,440692,138887,58/1157358.mp3,194.3
466,1157358,The young people that go travelling abroad in vans would listen to this on the radio and will listen to it and cry on the flight home.,,0,440692,138887,58/1157358.mp3,194.3
211,1157362,"Its a instrumental song, sounds epic and grand, like a score of a movie, has drums, keys, strings. It is kind of mysterious, sad, epic spacey",,1,440692,138887,62/1157362.mp3,204.3
122,1157362,Chill house music with a rising energy level and a soothing beat drop.,True,1,440692,138887,62/1157362.mp3,204.3
1033,1159244,Instrumental mostly on acoustic guitar and drums that has a lively feel and can be used before the start of a concert or event or in the background of a festival,True,1,442381,139166,44/1159244.mp3,226.8
538,1159370,An electronic chill out track featuring some instrument similar to santur.,True,1,369180,139184,70/1159370.mp3,265.8
952,1162014,A pop-rock track very close to a proto-punk sound.,True,2,4777,139601,14/1162014.mp3,193.8
299,1162015,"A powerful and very enjoyable rock song, with a strong drum that makes you want to dance.",True,2,4777,139601,15/1162015.mp3,174.3
1072,1162019,energetic rock song with an enigmatic verse but lightful and positive chorus,True,1,4777,139601,19/1162019.mp3,212.6
652,1162034,Step onto a cruise and sip your drink in your Hawaiian shirt while listening to this track under the afternoon breeze in St.Tropez.,True,1,454458,139615,34/1162034.mp3,402.3
808,1162101,Hopeful soundtrack using big wide sounds to create a feeling that something big is about to happen,True,0,432273,139606,01/1162101.mp3,223.3
422,1162101,String-led number that grows in stature and has a cinematic feel,True,1,432273,139606,01/1162101.mp3,223.3
1022,1162697,"A ukulele-driven track with a turnaround harmonic progression. Some melodics pads, muted electronic organ sounds  and a slide guitar enrich the backing track with simple and enthusiastic melodies",,1,451073,139685,97/1162697.mp3,145.9
767,1163315,"A relaxing jazz song, for focusing, that evokes sentimental feeling.",True,2,422656,139821,15/1163315.mp3,312.9
485,1163315,"Jazz track with a classic quartet formation and a trumpet lead, the song feels it comes from the 50s, smoking cigars in a club in New York.",,1,422656,139821,15/1163315.mp3,312.9
901,1163322,"This is a calm swing music with drums, synth and trumpet responding to each other and makes you want to bounce.",True,2,422656,139821,22/1163322.mp3,201.1
732,1163322,Light music on jazz style. Main melody and  solos by sax and clarinet with accompaniment by a drums and an electronic organ.,,1,422656,139821,22/1163322.mp3,201.1
673,1163322,A happy and soft jazz song with two saxophones in musical conversation.,True,1,422656,139821,22/1163322.mp3,201.1
904,1166070,This track sound like a Christmas song with bells as the melody and strings as support.,True,2,361694,140202,70/1166070.mp3,141.7
940,1166680,Positive vibe like something good is happening or about to happen based primarily on finger picking acoustic,True,1,442397,140285,80/1166680.mp3,63.3
841,1169699,"Chill, folk-like song with guitar accompaniment. Simple harmony and dancable rhythm.",,1,7063,140739,99/1169699.mp3,129.9
1019,1169699,"Multiple guitars with distorsion, wah-wah play a western country motif. The motif is followed by a more garage  rock guitar motif.",,0,7063,140739,99/1169699.mp3,129.9
350,1169705,Beautiful and evocative piece of classical piano music with a nostalgic touch.,True,2,338649,140751,05/1169705.mp3,283.2
976,1169705,An open and dreamy soundtrack featuring clean electric guitars and later on a high-pitched synth melody,False,1,338649,140751,05/1169705.mp3,283.2
463,1169706,This song gives a narrative of discovery or working something out I could imagine hearing it at the end of a video game working out my companion was the bad guy or solving a mystery that was not obvious.,,0,338649,140751,06/1169706.mp3,273.1
829,1169706,Calming and tense classical music played only on piano with strong variance in change of dynamics (velocity),True,1,338649,140751,06/1169706.mp3,273.1
84,1169708,"Western Classical music, piano, multiple sections, happy and nostalgic",,1,338649,140751,08/1169708.mp3,206.6
196,1169710,This instrumental song is so calm that makes me feel sleepy,True,1,338649,140751,10/1169710.mp3,403.8
593,1169713,"Genre seems to be classical music and I feel calm and reminded me of place called ""Nevermore Academy"" from Netflix show Wednesday",,1,338649,140751,13/1169713.mp3,238.3
676,1169714,A piece of classical piano music of great expressiveness.,True,1,338649,140751,14/1169714.mp3,334.5
258,1169716,"This song is an instrumental piano song. Its moody, mysterious and a little bit sad.",,1,338649,140751,16/1169716.mp3,160.5
935,1169718,Instrumental piano with a classical genre that has a feel of something going up and down and yet is optimistic,,1,338649,140751,18/1169718.mp3,298.5
1081,1169718,A mellow and joyful piece of classical music for solo piano,True,0,338649,140751,18/1169718.mp3,298.5
1091,1169719,Calming instrumental music primarily on piano can be used for relaxing,True,0,338649,140751,19/1169719.mp3,271.2
819,1169728,Classical music piano instrumental with a calming dreamy feel,True,1,338649,140751,28/1169728.mp3,284.1
236,1169728,"A classic instrumental piano song, ambient and relaxing. It has sad and sensitive vibes.",,0,338649,140751,28/1169728.mp3,284.1
598,1169729,Genre seems like a classical music played with piano and reminds me of a huge church in Europe where they play during daytime,,1,338649,140751,29/1169729.mp3,255.2
1102,1169731,"Classic instrumental song played on a piano that goes from being mellow, dreamy to uncomfortable feeling at times",True,0,338649,140751,31/1169731.mp3,191.3
96,1169733,The piano sounds like it's going through a rough period in its life.,False,1,338649,140751,33/1169733.mp3,129.3
266,1169734,"It is an instrumental piano song, with a moody relaxing and gentle tone",True,1,338649,140751,34/1169734.mp3,94.1
1064,1170729,It has a loving and joyful feel to it based on the lyrics and also the finger picking guitar,True,0,339048,140943,29/1170729.mp3,149.2
556,1173652,Delicate orchestral music with a magical Christmas feel,True,2,432273,141350,52/1173652.mp3,199.7
297,11751,"Electro Jazz instrumental track, with a basic beat and the electric piano leading the way to a final distorted guitar solo.",True,2,696,1741,51/11751.mp3,279.0
992,1176656,Electronic music that builds up mostly using various drum and guitar samples that is relaxing to listen to,True,1,458008,141669,56/1176656.mp3,184.5
660,1176656,"Instrumental song that conveys a sense of beginning or start, with different instruments gradually added to the mix.",True,1,458008,141669,56/1176656.mp3,184.5
215,1176656,"Starts like an experimental hip hop beat, transitions into an epic happy and relaxing vibe with the melody and guitar. It is an instrumental track with mostly acoustic instruments",,0,458008,141669,56/1176656.mp3,184.5
1037,1176657,Spacial projection with calm undertones plus slightly funky,True,2,458008,141669,57/1176657.mp3,120.0
505,1176716,"Instrumental lounge song, with an 80s sounding vibe, a strong digital synth pad in the back, a prominent bass line and the overall feeling of a hotel waiting room.",True,0,458008,141669,16/1176716.mp3,289.5
86,11773,A smooth jazz rendition of a Christmas song that makes me feel calm and happy.,True,1,696,1741,73/11773.mp3,122.6
777,1179160,Evokes an uncomfortable feeling is a mixture of rock and trance,,1,432273,141925,60/1179160.mp3,205.9
910,1180599,"Electronic song, so loopable, with cycle structures and a strong set base.",True,1,7349,142065,99/1180599.mp3,284.5
369,1180601,A hip-hop repetitive beat featuring a keyboards and synths.,True,1,7349,142065,01/1180601.mp3,271.1
93,1180601,A dramatic R&B back beat with a dull melody but solid bass and hi-hat base reminiscent of 90s.,True,1,7349,142065,01/1180601.mp3,271.1
29,1180601,"This is a pretty simple track that sounds like it was produced completely on the computer. It's somewhat energetic, could be hip hop but has no lyrics.",,0,7349,142065,01/1180601.mp3,271.1
1105,1180601,"Pretty simple but effective, starts of simple but later when the beats kick in makes head bob,",,1,7349,142065,01/1180601.mp3,271.1
423,1180633,Repetitive dancefloor track with loud synths and a simple beat,True,0,7349,142065,33/1180633.mp3,268.8
235,11839,"Starts with a very country vibe, with two guitars. It is an instrumental song with just two guitar playing. It sounds soothing and relaxing",,0,1780,1749,39/11839.mp3,212.2
107,11841,Slow-paced guitar ballad with clean guitar solos interspersed throughout the composition,True,0,1780,1749,41/11841.mp3,120.4
116,11841,"A peaceful yet emotionally charged instrumental track featuring a blend of calm, acoustic and electric guitars that overlap and intertwine to create a soothing, introspective soundscape that is perfect for relaxing and unwinding, or for providing a poignant, mellow background ambiance during a reflective moment.",True,0,1780,1749,41/11841.mp3,120.4
45,11843,"A soft guitar arpeggio opens this instrumental piece. Then it moves into folksy chord strumming, with a bluesy melody on top.",,1,1780,1749,43/11843.mp3,97.0
326,1187970,Typical energetic and positive EDM song from the early 10s that could be played in a discotheque on a summer night.,True,1,434337,142986,70/1187970.mp3,217.8
13,119345,"This instrumental piece has the qualities of Celtic folk songs, starting off with a harp-like instrument playing a repeating melody before drums come in",True,0,7051,16238,45/119345.mp3,325.5
36,1194312,"Catchy pop song with prominent acoustic guitar strumming, and an organ interlude.",True,2,343767,143735,12/1194312.mp3,172.4
1063,1194314,The song starts with a sad piano riff that has a wavy and mellow feel for someone who was hurt or is depressed that someone can bob their head to slowly in anguish,True,0,343767,143735,14/1194314.mp3,233.1
1104,1194315,"Groovy rhythm with the guitar especially when the bass kicks in, un-noticeable absence of loud snare and kick, poppy and catchy",True,1,343767,143735,15/1194315.mp3,234.5
817,1194315,"Mixture of styles, including African, Brit Pop, Country Pop, and commercial cleaning products.",True,1,343767,143735,15/1194315.mp3,234.5
814,1194316,"A rejected option for the opening music to the TV show, ""Just Shoot Me"", but a successful option for Texas ranch boy meets girl/sheep.",False,1,343767,143735,16/1194316.mp3,237.8
131,1198562,A soothing and lightly melancholic piano composition that makes the listener desire to sing with it.,True,2,462340,144181,62/1198562.mp3,190.2
888,1209452,"Happy optimistic instrumental song with whistles, xylophone and ukulele that can be used to clap and dance along to",True,1,451073,145253,52/1209452.mp3,178.3
405,1210714,"A fun upbeat drums section playing with a keyboard and some electronic horn type noises, feels like the automatic song on a keyboard that you'd play in music lessons",True,1,7063,145414,14/1210714.mp3,147.9
140,1210715,"Upbeat commercial-sounding song with a simple drum rhythm, guitar chords and a simple but spacey-sounding synth melody",True,1,7063,145414,15/1210715.mp3,130.4
443,1210719,Positive and light instrumental pop song with hand clapping.,,0,7063,145414,19/1210719.mp3,182.1
300,1210721,An instrumental surf rock track with a twist. Open charleston beat with strummed guitar and a mellow synth lead. The song is a happy cyberpunk soundtrack.,,1,7063,145414,21/1210721.mp3,185.8
343,1210725,Positive instrumental pop song with a strong rhythm and brass section.,True,0,7063,145414,25/1210725.mp3,160.1
745,1214580,"Classical Piano Jingle Solo, Happy and Fun 145 BPM",,2,432273,145798,80/1214580.mp3,146.0
187,1214580,"This music is piano waltz music of the classical genre and is reminiscent of Chopin, but it is not Chopin's original work.",True,2,432273,145798,80/1214580.mp3,146.0
938,1221997,Calming instrumental played on bass violin and flute that can be put in the background while doing some work or study,True,1,432273,146573,97/1221997.mp3,165.1
341,12301,Energetic bluesy song with a harmonica and horn section in musical dialogue.,True,1,1858,1820,01/12301.mp3,336.0
23,12301,Instrumental song with classical blues chords but played with a big band style.,True,0,1858,1820,01/12301.mp3,336.0
77,12302,"This track conveys a celebratory mood as in a road trip, where one is having time of his/her life exploring new things, discovering their inner thrill-seeker persona.",,1,1858,1820,02/12302.mp3,280.0
613,12303,This is an energetic song featuring brass air instruments and harmonica.,True,1,1858,1820,03/12303.mp3,331.9
1097,1235608,Relaxing jazz music with soothing melody that contains brass instruments and various keyboards.,True,1,340663,148140,08/1235608.mp3,225.6
333,1239507,"Mysterious piece of jazz music for a typical film noir scene, played on piano, bass (and with a trumpet solo section).",True,2,459422,148554,07/1239507.mp3,295.2
263,1241778,"An instrumental rock song, with a bass, electric guitar, and drums. It is a lively, energetic and happy sounding track",,1,474067,148821,78/1241778.mp3,227.7
946,1241783,A rock-solo track suitable for a road trip.,True,2,474067,148821,83/1241783.mp3,241.1
53,1242780,"The waves in the background give the track a lofi feeling. the drums are crunchy and not lack some low-end but are quite present. The piano in the background feels almost improvisational. Overall, it feels like a melancholic boom-bap track.",,0,439567,148948,80/1242780.mp3,289.1
985,124358,"soft and chill acoustic guitar with synthesized drumbeat, instrumental track",,1,337763,17389,58/124358.mp3,212.1
773,1245182,Lounge music for a summer evening on the beach.,True,0,476715,149189,82/1245182.mp3,308.2
523,1245183,An instrumental electronic track with ethereal organs and bouncy drums.,True,1,476715,149189,83/1245183.mp3,385.8
344,1245183,"Electrónica positiva con secuencias de tempo animado  y algo de fantasía futurista en los sintetizadores, graves profundos y agudos brillantes",,2,476715,149189,83/1245183.mp3,385.8
